# r f0(r) f1(r) f2(r)
0.30000 0.43690847 -0.18658957 0.22673812
0.60000 0.65014650 -0.26495750 0.31350375
0.90000 0.72559319 -0.26913776 0.30078489
1.20000 0.71981779 -0.22487366 0.22269612
1.50000 0.66945766 -0.15137636 0.10734336
1.80000 0.59771579 -0.06274168 -0.02275097
2.10000 0.51883785 0.03091225 -0.15017591
2.40000 0.44117753 0.12253484 -0.26212592
2.70000 0.36927947 0.20741822 -0.34987355
3.00000 0.30528194 0.28262242 -0.40823259
3.30000 0.24985095 0.34652219 -0.43502255
3.60000 0.20279388 0.39845176 -0.43054460
3.90000 0.16345537 0.43842843 -0.39707760
4.20000 0.13096683 0.46693923 -0.33840216
4.50000 0.10439850 0.48477790 -0.25935889
4.80000 0.08284768 0.49292181 -0.16544629
5.10000 0.06548573 0.49244039 -0.06246208
5.40000 0.05157926 0.48442834 0.04380920
5.70000 0.04049562 0.46995804 0.14786091
6.00000 0.03169925 0.45004689 0.24468074
6.30000 0.02474337 0.42563601 0.32991957
6.60000 0.01925947 0.39757752 0.40001425
6.90000 0.01494633 0.36662821 0.45226677
7.20000 0.01155946 0.33344785 0.48488275
7.50000 0.00890155 0.29860080 0.49697310
7.80000 0.00681389 0.26255984 0.48852302
8.10000 0.00516901 0.22571143 0.46033269
8.40000 0.00386447 0.18836180 0.41393467
8.70000 0.00281741 0.15074340 0.35149269
9.00000 0.00196018 0.11302129 0.27568669
9.30000 0.00123635 0.07529936 0.18958900
9.60000 0.00059747 0.03762613 0.09653606
