# z	interp	integ
0.000	1.000000	0.000000
0.100	0.954030	0.097702
0.200	0.908060	0.190806
0.300	0.862091	0.279314
0.400	0.816121	0.363224
0.500	0.770151	0.442538
0.600	0.724181	0.517254
0.700	0.678212	0.587374
0.800	0.632242	0.652897
0.900	0.586272	0.713822
1.000	0.540302	0.770151
1.100	0.444657	0.819399
1.200	0.349012	0.859083
1.300	0.253368	0.889202
1.400	0.157723	0.909756
1.500	0.062078	0.920746
1.600	-0.033567	0.922172
1.700	-0.129212	0.914033
1.800	-0.224857	0.896329
1.900	-0.320502	0.869061
2.000	-0.416147	0.832229
2.100	-0.473531	0.787745
2.200	-0.530916	0.737523
2.300	-0.588301	0.681562
2.400	-0.645685	0.619863
2.500	-0.703070	0.552425
2.600	-0.760454	0.479249
2.700	-0.817839	0.400334
2.800	-0.875223	0.315681
2.900	-0.932608	0.225289
3.000	-0.989992	0.129159
3.100	-0.956358	0.031842
3.200	-0.922723	-0.062112
3.300	-0.889088	-0.152703
3.400	-0.855453	-0.239930
3.500	-0.821818	-0.323793
3.600	-0.788183	-0.404293
3.700	-0.754548	-0.481430
3.800	-0.720913	-0.555203
3.900	-0.687279	-0.625613
4.000	-0.653644	-0.692659
4.100	-0.559913	-0.753337
4.200	-0.466182	-0.804641
4.300	-0.372452	-0.846573
4.400	-0.278721	-0.879132
4.500	-0.184991	-0.902317
4.600	-0.091260	-0.916130
4.700	0.002470	-0.920569
4.800	0.096201	-0.915636
4.900	0.189932	-0.901329
5.000	0.283662	-0.877650
5.100	0.351313	-0.845901
5.200	0.418964	-0.807387
5.300	0.486615	-0.762108
5.400	0.554265	-0.710064
5.500	0.621916	-0.651255
5.600	0.689567	-0.585681
5.700	0.757218	-0.513342
5.800	0.824869	-0.434237
5.900	0.892519	-0.348368
6.000	0.960170	-0.255733
6.100	0.939543	-0.160748
6.200	0.918917	-0.067825
6.300	0.898290	0.023036
6.400	0.877663	0.111833
6.500	0.857036	0.198568
6.600	0.836409	0.283241
6.700	0.815783	0.365850
6.800	0.795156	0.446397
6.900	0.774529	0.524881
7.000	0.753902	0.601303
7.100	0.663962	0.672196
7.200	0.574022	0.734095
7.300	0.484082	0.787001
7.400	0.394141	0.830912
7.500	0.304201	0.865829
7.600	0.214261	0.891752
7.700	0.124321	0.908681
7.800	0.034380	0.916616
7.900	-0.055560	0.915557
8.000	-0.145500	0.905504
8.100	-0.222063	0.887126
8.200	-0.298626	0.861091
8.300	-0.375189	0.827401
8.400	-0.451752	0.786054
8.500	-0.528315	0.737050
8.600	-0.604878	0.680391
8.700	-0.681441	0.616075
8.800	-0.758004	0.544102
8.900	-0.834567	0.464474
9.000	-0.911130	0.377189
