# z	spline	derivative	integral
0.000	0.000000	0.841471	0.000000
0.100	0.084147	0.841471	0.004207
0.200	0.168294	0.841471	0.016829
0.300	0.252441	0.841471	0.037866
0.400	0.336588	0.841471	0.067318
0.500	0.420735	0.841471	0.105184
0.600	0.504883	0.841471	0.151465
0.700	0.589030	0.841471	0.206160
0.800	0.673177	0.841471	0.269271
0.900	0.757324	0.841471	0.340796
1.000	0.841471	0.841471	0.420735
1.100	0.848254	0.067826	0.505222
1.200	0.855036	0.067826	0.590386
1.300	0.861819	0.067826	0.676229
1.400	0.868602	0.067826	0.762750
1.500	0.875384	0.067826	0.849949
1.600	0.882167	0.067826	0.937827
1.700	0.888949	0.067826	1.026383
1.800	0.895732	0.067826	1.115617
1.900	0.902515	0.067826	1.205529
2.000	0.909297	0.067826	1.296120
2.100	0.907720	-0.099374	1.387110
2.200	0.889423	-0.266575	1.477106
2.300	0.854405	-0.433776	1.564437
2.400	0.802667	-0.600977	1.647430
2.500	0.734210	-0.768177	1.724413
2.600	0.649032	-0.935378	1.793715
2.700	0.547134	-1.102579	1.853662
2.800	0.428516	-1.269780	1.902584
2.900	0.293178	-1.436981	1.938808
3.000	0.141120	-1.604181	1.960662
3.100	-0.012236	-1.462930	1.966989
3.200	-0.151466	-1.321678	1.958686
3.300	-0.276571	-1.180426	1.937167
3.400	-0.387551	-1.039174	1.903843
3.500	-0.484406	-0.897923	1.860127
3.600	-0.567136	-0.756671	1.807432
3.700	-0.635740	-0.615419	1.747171
3.800	-0.690219	-0.474167	1.680755
3.900	-0.730574	-0.332915	1.609598
4.000	-0.756802	-0.191664	1.535111
4.100	-0.776073	-0.193755	1.458469
4.200	-0.795554	-0.195847	1.379890
4.300	-0.815243	-0.197939	1.299352
4.400	-0.835141	-0.200030	1.216834
4.500	-0.855249	-0.202122	1.132316
4.600	-0.875566	-0.204213	1.045777
4.700	-0.896092	-0.206305	0.957196
4.800	-0.916827	-0.208397	0.866552
4.900	-0.937771	-0.210488	0.773824
5.000	-0.958924	-0.212580	0.678991
5.100	-0.971261	-0.034162	0.582333
5.200	-0.965757	0.144256	0.485333
5.300	-0.942410	0.322673	0.389776
5.400	-0.901222	0.501091	0.297446
5.500	-0.842192	0.679509	0.210127
5.600	-0.765320	0.857926	0.129602
5.700	-0.670607	1.036344	0.057657
5.800	-0.558051	1.214762	-0.003924
5.900	-0.427654	1.393180	-0.053358
6.000	-0.279415	1.571597	-0.088860
6.100	-0.128608	1.444558	-0.109156
6.200	0.009496	1.317519	-0.115005
6.300	0.134896	1.190480	-0.107680
6.400	0.247592	1.063441	-0.088450
6.500	0.347584	0.936402	-0.058585
6.600	0.434873	0.809363	-0.019356
6.700	0.509457	0.682324	0.027966
6.800	0.571337	0.555285	0.082112
6.900	0.620514	0.428246	0.141810
7.000	0.656987	0.301207	0.205791
7.100	0.687419	0.307440	0.273006
7.200	0.718475	0.313673	0.343296
7.300	0.750153	0.319906	0.416722
7.400	0.782456	0.326139	0.493347
7.500	0.815381	0.332372	0.573234
7.600	0.848930	0.338605	0.656444
7.700	0.883102	0.344838	0.743041
7.800	0.917898	0.351071	0.833085
7.900	0.953316	0.357304	0.926641
8.000	0.989358	0.363536	1.023769
8.100	1.016304	0.175381	1.124209
8.200	1.024434	-0.012774	1.226403
8.300	1.013749	-0.200929	1.328469
8.400	0.984249	-0.389085	1.428526
8.500	0.935932	-0.577240	1.524692
8.600	0.868801	-0.765395	1.615085
8.700	0.782853	-0.953550	1.697824
8.800	0.678091	-1.141706	1.771028
8.900	0.554512	-1.329861	1.832815
9.000	0.412118	-1.518016	1.881304
